view_count,likes,ratio
8036001	,324742	,96.91
9378067	,562589	,98.19
2182066	,273650	,99.38
6525864	,94698	,96.25
9481284	,582481	,97.22
1853121	,89903	,97.46
2875684	,183163	,94.52
483827	,4864	,91.53
1677046	,103227	,97.52
